"Module";"Formation";"Description";"Prérequis";"Date";"Type";"Système";"Statut";"Référence"
"GTP020";"> modif. d'un équipement";"Equipement robinetterie (ROB), UG 132413
Equipement chaudière (CHD), UG 160589";"";"";"";"ok";"EVOLVE CHM";""
"SIN200";"> Gérer les sinistres : Générique. Accès SIN200 et vérification de la cohérence des données";"Pas d'entrée spécifique";"";"";"";"ok";"EVOLVE CHM";"Sinistre 004031"
"RST970";"> Créer un bon de sortie";"Pas d'entrée spécifique";"Bon de sortie n°185806";"";"";"ok";"EVOLVE CHM";""
"RST963";"> Gérer les sorties de stock";"";"";"";"";"ok";"EVOLVE CHM";"Commentaire auto affiché ou pas"
"ACH600 02";"> O.E pour comptabilisation des factures CALL PGM(IKSPPGMRE7/CPTFACT)";"";"";"";"";"ok";"EVOLVE CHM";"Facture O28445 comptabilisée"
"CGNINT 01";"> O.E. Intégration d'OD (MASSARTFR)";"Fichier comportant des écritures fonctionnellement erronées 
(Pas de descente au dernier niveau de HO du budget)";"";"";"";"";"";"Pas de boucle de l'OE, plantage ok avec alimentation du KIECERP : 
Budget Exercice 2024, plan MSDEPL, collaborateur DEC inexistant ou bien il possède un fils (Plan budgétaire)"
"";"> O.E. Intégration d'OD (MASSARTFR)";"Fichier cohérent sur la plan fonctionnel";"";"";"";"ok";"EVOLVE CHM";"Lot 8, pièce créée n° 250000131"
"";"> Validation et déversement des écritures : via IKOS - CGN080 ou via l'OE CPTLOT_01";"";"";"";"";"ok";"EVOLVE CHM";"Totalité des écritures présentes dans l'historique comptable (KHSCPTP)"
"ENTREV 01";"> O.E Révision des prx spécifiques marchés";"Marché 052896";"";"";"";"";"";"Résultat conforme à la prod"
"***";"";"";"";"";"";"";"";""
"SELECT LCNOCOMMAN,CMDTENRCDE FROM kcomdep";"";"";"";"";"";"";"";""
"join klgcdep on CMNOCOMMAN = LCNOCOMMAN";"";"";"";"";"";"";"";""
"WHERE CMCDTYPCDE = '200'";"";"";"";"";"";"";"";""
"and CMCDOGA = 'FMC' and CMDTENRCDE >= '20240101'";"";"";"";"";"";"";"";""
"GROUP BY LCNOCOMMAN,CMDTENRCDE";"";"";"";"";"";"";"";""
"HAVING count (LCNOCOMMAN) >= '10'";"";"";"";"";"";"";"";""
"ORDER BY CMDTENRCDE";"";"";"";"";"";"";"";""
